"","SiteID","Usage","date"
"1",1001,0,2022-04-30
"2",1001,3,2022-05-31
"3",1001,14,2022-06-30
"4",1001,41,2022-07-31
"5",1001,46,2022-08-31
"6",1001,28,2022-09-30
"7",1002,3,2022-04-30
"8",1002,4,2022-05-31
"9",1002,5,2022-06-30
"10",1002,5,2022-07-31
"11",1002,5,2022-08-31
"12",1002,5,2022-09-30
"13",1003,3,2022-04-30
"14",1003,4,2022-05-31
"15",1003,5,2022-06-30
"16",1003,4,2022-07-31
"17",1003,5,2022-08-31
"18",1003,4,2022-09-30
"19",1004,1,2022-04-30
"20",1004,1,2022-05-31
"21",1004,2,2022-06-30
"22",1004,1,2022-07-31
"23",1004,2,2022-08-31
"24",1004,2,2022-09-30
"25",1005,5,2022-04-30
"26",1005,5,2022-05-31
"27",1005,11,2022-06-30
"28",1005,6,2022-07-31
"29",1005,7,2022-08-31
"30",1005,6,2022-09-30
"31",1006,5,2022-04-30
"32",1006,5,2022-05-31
"33",1006,0,2022-06-30
"34",1007,6,2022-04-30
"35",1007,8,2022-05-31
"36",1007,76,2022-06-30
"37",1007,84,2022-07-31
"38",1007,182,2022-08-31
"39",1007,72,2022-09-30
"40",1008,5,2022-04-30
"41",1008,6,2022-05-31
"42",1008,19,2022-06-30
"43",1008,34,2022-07-31
"44",1008,42,2022-08-31
"45",1008,16,2022-09-30
"46",1009,0,2022-06-30
"47",1009,2,2022-06-30
"48",1009,1,2022-07-31
"49",1009,17,2022-08-31
"50",1009,7,2022-09-30
"51",1010,2,2022-04-30
"52",1010,1,2022-05-31
"53",1010,31,2022-06-30
"54",1010,54,2022-07-31
"55",1010,61,2022-08-31
"56",1010,60,2022-09-30
"57",1011,27,2022-04-30
"58",1011,4,2022-05-31
"59",1011,7,2022-06-30
"60",1011,9,2022-07-31
"61",1011,7,2022-08-31
"62",1011,7,2022-09-30
"63",104,0,2022-04-30
"64",104,0,2022-05-31
"65",104,0,2022-06-30
"66",104,0,2022-07-31
"67",104,0,2022-08-31
"68",104,43,2022-09-30
"69",1012,8,2022-04-30
"70",1012,8,2022-05-31
"71",1012,29,2022-06-30
"72",1012,46,2022-07-31
"73",1012,39,2022-08-31
"74",1012,29,2022-09-30
"75",1013,3,2022-04-30
"76",1013,3,2022-05-31
"77",1013,17,2022-06-30
"78",1013,33,2022-07-31
"79",1013,50,2022-08-31
"80",1013,20,2022-09-30
"81",1014,1,2022-04-30
"82",1014,7,2022-05-31
"83",1014,17,2022-06-30
"84",1014,16,2022-07-31
"85",1014,19,2022-08-31
"86",1014,16,2022-09-30
"87",1015,1,2022-04-30
"88",1015,4,2022-05-31
"89",1015,4,2022-06-30
"90",1015,3,2022-07-31
"91",1015,4,2022-08-31
"92",1015,4,2022-09-30
"93",1016,4,2022-04-30
"94",1016,9,2022-05-31
"95",1016,4,2022-06-30
"96",1016,4,2022-07-31
"97",1016,4,2022-08-31
"98",1016,4,2022-09-30
"99",1017,12,2022-04-30
"100",1017,32,2022-05-31
"101",1017,19,2022-06-30
"102",1017,12,2022-07-31
"103",1017,20,2022-08-31
"104",1017,15,2022-09-30
"105",1018,3,2022-04-30
"106",1018,3,2022-05-31
"107",1018,5,2022-06-30
"108",1018,6,2022-07-31
"109",1018,0,2022-08-31
"110",1018,10,2022-09-30
"111",1019,3,2022-04-30
"112",1019,7,2022-05-31
"113",1019,10,2022-06-30
"114",1019,5,2022-07-31
"115",1019,8,2022-08-31
"116",1019,9,2022-09-30
"117",1020,5,2022-04-30
"118",1020,11,2022-05-31
"119",1020,9,2022-06-30
"120",1020,5,2022-07-31
"121",1020,8,2022-08-31
"122",1020,25,2022-09-30
"123",1021,0,2022-04-30
"124",1021,0,2022-05-31
"125",1021,0,2022-06-30
"126",1021,0,2022-07-31
"127",1021,0,2022-08-31
"128",1021,0,2022-09-30
"129",1022,7,2022-04-30
"130",1022,9,2022-05-31
"131",1022,13,2022-06-30
"132",1022,18,2022-07-31
"133",1022,20,2022-08-31
"134",1022,12,2022-09-30
"135",1023,3,2022-04-30
"136",1023,3,2022-05-31
"137",1023,15,2022-06-30
"138",1023,36,2022-07-31
"139",1023,28,2022-08-31
"140",1023,14,2022-09-30
"141",1024,3,2022-04-30
"142",1024,5,2022-05-31
"143",1024,18,2022-06-30
"144",1024,26,2022-07-31
"145",1024,14,2022-08-31
"146",1024,15,2022-09-30
"147",1025,0,2022-04-30
"148",1025,0,2022-05-31
"149",1025,0,2022-06-30
"150",1025,0,2022-07-31
"151",1025,0,2022-08-31
"152",1025,0,2022-09-30
"153",1026,4,2022-04-30
"154",1026,9,2022-05-31
"155",1026,29,2022-06-30
"156",1026,37,2022-07-31
"157",1026,52,2022-08-31
"158",1026,37,2022-09-30
"159",1027,4,2022-04-30
"160",1027,4,2022-05-31
"161",1027,3,2022-06-30
"162",1027,3,2022-07-31
"163",1027,5,2022-08-31
"164",1027,2,2022-09-30
"165",1028,0,2022-04-30
"166",1028,0,2022-05-31
"167",1028,42,2022-06-30
"168",1028,0,2022-07-31
"169",1028,109,2022-08-31
"170",1028,0,2022-09-30
"171",1029,2,2022-04-30
"172",1029,3,2022-05-31
"173",1029,6,2022-06-30
"174",1029,3,2022-07-31
"175",1029,6,2022-08-31
"176",1029,3,2022-09-30
"177",1030,3,2022-04-30
"178",1030,4,2022-05-31
"179",1030,77,2022-06-30
"180",1030,67,2022-07-31
"181",1030,93,2022-08-31
"182",1030,53,2022-09-30
"183",1031,0,2022-04-30
"184",1031,0,2022-05-31
"185",1031,0,2022-06-30
"186",1031,0,2022-07-31
"187",1031,0,2022-08-31
"188",1031,0,2022-09-30
"189",1032,2,2022-04-30
"190",1032,1,2022-05-31
"191",1032,2,2022-06-30
"192",1032,2,2022-07-31
"193",1032,2,2022-08-31
"194",1032,1,2022-09-30
"195",1033,6,2022-04-30
"196",1033,6,2022-05-31
"197",1033,29,2022-06-30
"198",1033,39,2022-07-31
"199",1033,54,2022-08-31
"200",1033,43,2022-09-30
"201",1034,7,2022-04-30
"202",1034,13,2022-05-31
"203",1034,20,2022-06-30
"204",1034,39,2022-07-31
"205",1034,31,2022-08-31
"206",1034,21,2022-09-30
"207",1035,6,2022-04-30
"208",1035,7,2022-05-31
"209",1035,7,2022-06-30
"210",1035,6,2022-07-31
"211",1035,8,2022-08-31
"212",1035,6,2022-09-30
"213",1036,2,2022-04-30
"214",1036,3,2022-05-31
"215",1036,32,2022-06-30
"216",1036,32,2022-07-31
"217",1036,17,2022-08-31
"218",1036,11,2022-09-30
"219",1037,4,2022-04-30
"220",1037,8,2022-05-31
"221",1037,10,2022-06-30
"222",1037,7,2022-07-31
"223",1037,9,2022-08-31
"224",1037,8,2022-09-30
"225",1038,4,2022-04-30
"226",1038,5,2022-05-31
"227",1038,7,2022-06-30
"228",1038,6,2022-07-31
"229",1038,7,2022-08-31
"230",1038,4,2022-09-30
"231",1039,7,2022-04-30
"232",1039,0,2022-05-31
"233",1039,0,2022-06-30
"234",1039,7,2022-07-31
"235",1039,2,2022-08-31
"236",1039,3,2022-09-30
"237",1040,5,2022-04-30
"238",1040,10,2022-05-31
"239",1040,81,2022-06-30
"240",1040,108,2022-07-31
"241",1040,90,2022-08-31
"242",1040,75,2022-09-30
"243",1041,6,2022-04-30
"244",1041,7,2022-05-31
"245",1041,10,2022-06-30
"246",1041,10,2022-07-31
"247",1041,9,2022-08-31
"248",1041,4,2022-09-30
"249",1042,2,2022-04-30
"250",1042,2,2022-05-31
"251",1042,16,2022-06-30
"252",1042,34,2022-07-31
"253",1042,55,2022-08-31
"254",1042,39,2022-09-30
"255",1043,0,2022-08-31
"256",1043,2,2022-08-31
"257",1043,4,2022-09-30
"258",1044,7,2022-04-30
"259",1044,7,2022-05-31
"260",1044,10,2022-06-30
"261",1044,5,2022-07-31
"262",1044,7,2022-08-31
"263",1044,5,2022-09-30
"264",1045,4,2022-04-30
"265",1045,3,2022-05-31
"266",1045,21,2022-06-30
"267",1045,23,2022-07-31
"268",1045,13,2022-08-31
"269",1045,12,2022-09-30
"270",1046,5,2022-04-30
"271",1046,8,2022-05-31
"272",1046,14,2022-06-30
"273",1046,14,2022-07-31
"274",1046,16,2022-08-31
"275",1046,15,2022-09-30
"276",1047,2,2022-04-30
"277",1047,0,2022-05-31
"278",1047,19,2022-06-30
"279",1047,24,2022-07-31
"280",1047,17,2022-08-31
"281",1047,13,2022-09-30
"282",1048,2,2022-04-30
"283",1048,2,2022-05-31
"284",1048,5,2022-06-30
"285",1048,3,2022-07-31
"286",1048,2,2022-08-31
"287",1048,2,2022-09-30
"288",1049,2,2022-04-30
"289",1049,0,2022-05-31
"290",1049,0,2022-06-30
"291",1049,6,2022-07-31
"292",1049,3,2022-08-31
"293",1049,2,2022-09-30
"294",1050,0,2022-04-30
"295",1050,0,2022-05-31
"296",1050,5,2022-06-30
"297",1050,0,2022-07-31
"298",1050,0,2022-08-31
"299",1050,0,2022-09-30
"300",1051,0,2022-04-30
"301",1051,0,2022-05-31
"302",1051,0,2022-06-30
"303",1051,52,2022-07-31
"304",1051,10,2022-08-31
"305",1051,6,2022-09-30
"306",1052,5,2022-04-30
"307",1052,12,2022-05-31
"308",1052,73,2022-06-30
"309",1052,68,2022-07-31
"310",1052,61,2022-08-31
"311",1052,67,2022-09-30
"312",1053,4,2022-04-30
"313",1053,4,2022-05-31
"314",1053,8,2022-06-30
"315",1053,13,2022-07-31
"316",1053,21,2022-08-31
"317",1053,16,2022-09-30
"318",1054,6,2022-04-30
"319",1054,7,2022-05-31
"320",1054,13,2022-06-30
"321",1054,10,2022-07-31
"322",1054,10,2022-08-31
"323",1054,8,2022-09-30
"324",1055,3,2022-04-30
"325",1055,3,2022-05-31
"326",1055,4,2022-06-30
"327",1055,3,2022-07-31
"328",1055,4,2022-08-31
"329",1055,3,2022-09-30
"330",1056,0,2022-04-30
"331",1056,0,2022-05-31
"332",1056,0,2022-06-30
"333",1056,66,2022-07-31
"334",1056,0,2022-08-31
"335",1056,0,2022-09-30
"336",1057,0,2022-04-30
"337",1057,0,2022-05-31
"338",1057,0,2022-06-30
"339",1057,3,2022-07-31
"340",1057,4,2022-08-31
"341",1057,1,2022-09-30
"342",1058,5,2022-04-30
"343",1058,6,2022-05-31
"344",1058,11,2022-06-30
"345",1058,7,2022-07-31
"346",1058,23,2022-08-31
"347",1058,11,2022-09-30
"348",1059,1,2022-04-30
"349",1059,3,2022-05-31
"350",1059,15,2022-06-30
"351",1059,15,2022-07-31
"352",1059,42,2022-08-31
"353",1059,13,2022-09-30
"354",1060,3,2022-04-30
"355",1060,5,2022-05-31
"356",1060,12,2022-06-30
"357",1060,14,2022-07-31
"358",1060,16,2022-08-31
"359",1060,8,2022-09-30
"360",1061,0,2022-04-30
"361",1061,22,2022-05-31
"362",1061,25,2022-06-30
"363",1061,27,2022-07-31
"364",1061,23,2022-08-31
"365",1061,16,2022-09-30
"366",1062,2,2022-04-30
"367",1062,2,2022-05-31
"368",1062,3,2022-06-30
"369",1062,1,2022-07-31
"370",1062,0,2022-08-31
"371",1062,1,2022-09-30
"372",1063,3,2022-04-30
"373",1063,5,2022-05-31
"374",1063,6,2022-06-30
"375",1063,5,2022-07-31
"376",1063,7,2022-08-31
"377",1063,5,2022-09-30
"378",1064,2,2022-04-30
"379",1064,3,2022-05-31
"380",1064,5,2022-06-30
"381",1064,5,2022-07-31
"382",1064,4,2022-08-31
"383",1064,4,2022-09-30
"384",1065,5,2022-04-30
"385",1065,6,2022-05-31
"386",1065,8,2022-06-30
"387",1065,8,2022-07-31
"388",1065,9,2022-08-31
"389",1065,5,2022-09-30
"390",1066,3,2022-04-30
"391",1066,4,2022-05-31
"392",1066,7,2022-06-30
"393",1066,4,2022-07-31
"394",1066,5,2022-08-31
"395",1066,3,2022-09-30
"396",1067,3,2022-04-30
"397",1067,2,2022-05-31
"398",1067,4,2022-06-30
"399",1067,2,2022-07-31
"400",1067,4,2022-08-31
"401",1067,3,2022-09-30
"402",1068,5,2022-04-30
"403",1068,0,2022-05-31
"404",1068,12,2022-06-30
"405",1068,5,2022-07-31
"406",1068,8,2022-08-31
"407",1068,6,2022-09-30
"408",1069,0,2022-04-30
"409",1069,11,2022-05-31
"410",1069,0,2022-06-30
"411",1069,0,2022-07-31
"412",1069,6,2022-08-31
"413",1069,0,2022-09-30
"414",1070,5,2022-04-30
"415",1070,8,2022-05-31
"416",1070,31,2022-06-30
"417",1070,64,2022-07-31
"418",1070,46,2022-08-31
"419",1070,40,2022-09-30
"420",1071,7,2022-04-30
"421",1071,7,2022-05-31
"422",1071,6,2022-06-30
"423",1071,55,2022-07-31
"424",1071,56,2022-08-31
"425",1071,37,2022-09-30
"426",1072,2,2022-04-30
"427",1072,7,2022-05-31
"428",1072,40,2022-06-30
"429",1072,92,2022-07-31
"430",1072,68,2022-08-31
"431",1072,52,2022-09-30
"432",1073,2,2022-04-30
"433",1073,2,2022-05-31
"434",1073,3,2022-06-30
"435",1073,2,2022-07-31
"436",1073,3,2022-08-31
"437",1073,2,2022-09-30
"438",1074,7,2022-04-30
"439",1074,9,2022-05-31
"440",1074,20,2022-06-30
"441",1074,30,2022-07-31
"442",1074,45,2022-08-31
"443",1074,27,2022-09-30
"444",1075,2,2022-04-30
"445",1075,5,2022-05-31
"446",1075,27,2022-06-30
"447",1075,26,2022-07-31
"448",1075,45,2022-08-31
"449",1075,38,2022-09-30
"450",1076,5,2022-04-30
"451",1076,5,2022-05-31
"452",1076,7,2022-06-30
"453",1076,3,2022-07-31
"454",1076,5,2022-08-31
"455",1076,5,2022-09-30
"456",1077,18,2022-04-30
"457",1077,16,2022-05-31
"458",1077,21,2022-06-30
"459",1077,25,2022-07-31
"460",1077,0,2022-08-31
"461",1077,0,2022-09-30
"462",1078,13,2022-04-30
"463",1078,11,2022-05-31
"464",1078,15,2022-06-30
"465",1078,11,2022-07-31
"466",1078,16,2022-08-31
"467",1078,16,2022-09-30
"468",1079,3,2022-04-30
"469",1079,5,2022-05-31
"470",1079,11,2022-06-30
"471",1079,22,2022-07-31
"472",1079,26,2022-08-31
"473",1079,0,2022-09-30
"474",1080,2,2022-04-30
"475",1080,3,2022-05-31
"476",1080,0,2022-06-30
"477",1080,136,2022-07-31
"478",1080,46,2022-08-31
"479",1080,0,2022-09-30
"480",1081,5,2022-04-30
"481",1081,7,2022-05-31
"482",1081,6,2022-06-30
"483",1081,8,2022-07-31
"484",1081,7,2022-08-31
"485",1081,6,2022-09-30
"486",1082,4,2022-04-30
"487",1082,5,2022-05-31
"488",1082,7,2022-06-30
"489",1082,12,2022-07-31
"490",1082,7,2022-08-31
"491",1082,7,2022-09-30
"492",1083,5,2022-04-30
"493",1083,5,2022-05-31
"494",1083,9,2022-06-30
"495",1083,7,2022-07-31
"496",1083,7,2022-08-31
"497",1083,7,2022-09-30
"498",1084,1,2022-04-30
"499",1084,1,2022-05-31
"500",1084,1,2022-06-30
"501",1084,5,2022-07-31
"502",1084,2,2022-08-31
"503",1084,1,2022-09-30
"504",1085,2,2022-04-30
"505",1085,10,2022-05-31
"506",1085,20,2022-06-30
"507",1085,61,2022-07-31
"508",1085,17,2022-08-31
"509",1085,10,2022-09-30
"510",1086,0,2022-04-30
"511",1086,0,2022-05-31
"512",1086,0,2022-06-30
"513",1086,0,2022-07-31
"514",1086,0,2022-08-31
"515",1086,0,2022-09-30
"516",1087,3,2022-04-30
"517",1087,6,2022-05-31
"518",1087,24,2022-06-30
"519",1087,2,2022-07-31
"520",1087,4,2022-08-31
"521",1087,2,2022-09-30
"522",1088,16,2022-04-30
"523",1088,11,2022-05-31
"524",1088,58,2022-06-30
"525",1088,58,2022-07-31
"526",1088,63,2022-08-31
"527",1088,46,2022-09-30
"528",1089,5,2022-04-30
"529",1089,5,2022-05-31
"530",1089,29,2022-06-30
"531",1089,49,2022-07-31
"532",1089,55,2022-08-31
"533",1089,43,2022-09-30
"534",1090,3,2022-04-30
"535",1090,3,2022-05-31
"536",1090,3,2022-06-30
"537",1090,1,2022-07-31
"538",1090,3,2022-08-31
"539",1090,2,2022-09-30
"540",1091,4,2022-04-30
"541",1091,4,2022-05-31
"542",1091,7,2022-06-30
"543",1091,6,2022-07-31
"544",1091,5,2022-08-31
"545",1091,5,2022-09-30
"546",1092,5,2022-04-30
"547",1092,7,2022-05-31
"548",1092,22,2022-06-30
"549",1092,44,2022-07-31
"550",1092,24,2022-08-31
"551",1092,16,2022-09-30
"552",1093,4,2022-04-30
"553",1093,3,2022-05-31
"554",1093,22,2022-06-30
"555",1093,14,2022-07-31
"556",1093,21,2022-08-31
"557",1093,20,2022-09-30
"558",1094,0,2022-04-30
"559",1094,0,2022-05-31
"560",1094,0,2022-06-30
"561",1094,0,2022-07-31
"562",1094,0,2022-08-31
"563",1094,13,2022-09-30
"564",1095,1,2022-04-30
"565",1095,2,2022-05-31
"566",1095,3,2022-06-30
"567",1095,2,2022-07-31
"568",1095,9,2022-08-31
"569",1095,12,2022-09-30
"570",1096,3,2022-04-30
"571",1096,3,2022-05-31
"572",1096,6,2022-06-30
"573",1096,3,2022-07-31
"574",1096,5,2022-08-31
"575",1096,4,2022-09-30
"576",1097,2,2022-04-30
"577",1097,2,2022-05-31
"578",1097,2,2022-06-30
"579",1097,2,2022-07-31
"580",1097,2,2022-08-31
"581",1097,2,2022-09-30
"582",1098,2,2022-04-30
"583",1098,3,2022-05-31
"584",1098,3,2022-06-30
"585",1098,3,2022-07-31
"586",1098,3,2022-08-31
"587",1098,3,2022-09-30
"588",1099,1,2022-04-30
"589",1099,2,2022-05-31
"590",1099,17,2022-06-30
"591",1099,41,2022-07-31
"592",1099,43,2022-08-31
"593",1099,32,2022-09-30
"594",1100,6,2022-04-30
"595",1100,14,2022-05-31
"596",1100,39,2022-06-30
"597",1100,61,2022-07-31
"598",1100,65,2022-08-31
"599",1100,30,2022-09-30
"600",1101,0,2022-04-30
"601",1101,0,2022-05-31
"602",1101,0,2022-06-30
"603",1101,0,2022-07-31
"604",1101,0,2022-08-31
"605",1101,0,2022-09-30
"606",1102,0,2022-04-30
"607",1102,57,2022-05-31
"608",1102,0,2022-06-30
"609",1102,0,2022-07-31
"610",1102,0,2022-08-31
"611",1102,38,2022-09-30
"612",1103,3,2022-04-30
"613",1103,4,2022-05-31
"614",1103,6,2022-06-30
"615",1103,8,2022-07-31
"616",1103,9,2022-08-31
"617",1103,5,2022-09-30
"618",1104,0,2022-04-30
"619",1104,0,2022-05-31
"620",1104,0,2022-06-30
"621",1104,0,2022-07-31
"622",1104,0,2022-08-31
"623",1104,0,2022-09-30
"624",1105,3,2022-04-30
"625",1105,6,2022-04-30
"626",1105,3,2022-05-31
"627",1105,3,2022-05-31
"628",1105,0,2022-06-30
"629",1105,5,2022-06-30
"630",1105,3,2022-07-31
"631",1105,53,2022-07-31
